--------- beginning of main
04-23 11:23:41.680   874  2062 D NetworkMonitor/100: PROBE_DNS www.google.com 21ms OK 162.125.80.5,2001::1f0d:5528
04-23 11:23:41.686   874  2063 D NetworkMonitor/100: PROBE_DNS connectivitycheck.gstatic.com 26ms OK 203.208.40.34
04-23 11:23:41.837   874  2063 D NetworkMonitor/100: PROBE_HTTP http://connectivitycheck.gstatic.com/generate_204 time=147ms ret=204 request={Connection=[close], User-Agent=[Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.32 Safari/537.36]} headers={null=[HTTP/1.1 204 No Content], Connection=[close], Content-Length=[0], Date=[Sat, 23 Apr 2022 11:23:58 GMT], X-Android-Received-Millis=[1650713021836], X-Android-Response-Source=[NETWORK 204], X-Android-Selected-Protocol=[http/1.1], X-Android-Sent-Millis=[1650713021729]}
--------- beginning of radio
04-23 11:23:43.196   942   942 D SubscriptionController: StackTrace - [getSubId]+ slotIndex=0
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.SubscriptionController.getSubId(SubscriptionController.java:2299)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.SubscriptionController.getSubIdUsingPhoneId(SubscriptionController.java:2694)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.Phone.getSubId(Phone.java:3743)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.DefaultPhoneNotifier.notifyDataActivity(DefaultPhoneNotifier.java:121)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.Phone.notifyDataActivity(Phone.java:2526)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.dataconnection.DcTracker.updateDataActivity(DcTracker.java:4561)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.dataconnection.DcTracker.access$500(DcTracker.java:140)
04-23 11:23:43.196   942   942 D SubscriptionController: com.android.internal.telephony.dataconnection.DcTracker$2.run(DcTracker.java:391)
04-23 11:23:43.196   942   942 D SubscriptionController: android.os.Handler.handleCallback(Handler.java:938)
04-23 11:23:43.197   942   942 D SubscriptionController: android.os.Handler.dispatchMessage(Handler.java:99)
04-23 11:23:43.197   942   942 D SubscriptionController: android.os.Looper.loop(Looper.java:223)
04-23 11:23:43.197   942   942 D SubscriptionController: android.app.ActivityThread.main(ActivityThread.java:7656)
04-23 11:23:43.197   942   942 D SubscriptionController: java.lang.reflect.Method.invoke(Native Method)
04-23 11:23:43.197   942   942 D SubscriptionController: com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
04-23 11:23:43.197   942   942 D SubscriptionController: com.android.internal.os.ZygoteInit.main(ZygoteInit.java:947)
04-23 11:23:43.197   942   942 D SubscriptionController: [getSubId]- subIdArr=[I@12e8d2b
04-23 11:23:43.199   942   942 D SubscriptionController: [getActiveSubscriptionInfo]+ subId=1 subInfo={id=1 iccId=89014103211118510720 simSlotIndex=0 carrierId=1 displayName=T-Mobile carrierName=T-Mobile nameSource=3 iconTint=-16746133 number=+15555215554 dataRoaming=0 iconBitmap=android.graphics.Bitmap@b1bb555 mcc=310 mnc=260 countryIso=us isEmbedded=false nativeAccessRules=null cardString=89014103211118510720 cardId=-1 isOpportunistic=false groupUUID=null isGroupDisabled=false profileClass=-1 ehplmns=null hplmns=null subscriptionType=0 groupOwner=null carrierConfigAccessRules=null areUiccApplicationsEnabled=true}
04-23 11:23:44.205   942   942 D SubscriptionController: StackTrace - [getSubId]+ slotIndex=0
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.SubscriptionController.getSubId(SubscriptionController.java:2299)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.SubscriptionController.getSubIdUsingPhoneId(SubscriptionController.java:2694)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.Phone.getSubId(Phone.java:3743)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.DefaultPhoneNotifier.notifyDataActivity(DefaultPhoneNotifier.java:121)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.Phone.notifyDataActivity(Phone.java:2526)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.dataconnection.DcTracker.updateDataActivity(DcTracker.java:4561)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.dataconnection.DcTracker.access$500(DcTracker.java:140)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.telephony.dataconnection.DcTracker$2.run(DcTracker.java:391)
04-23 11:23:44.205   942   942 D SubscriptionController: android.os.Handler.handleCallback(Handler.java:938)
04-23 11:23:44.205   942   942 D SubscriptionController: android.os.Handler.dispatchMessage(Handler.java:99)
04-23 11:23:44.205   942   942 D SubscriptionController: android.os.Looper.loop(Looper.java:223)
04-23 11:23:44.205   942   942 D SubscriptionController: android.app.ActivityThread.main(ActivityThread.java:7656)
04-23 11:23:44.205   942   942 D SubscriptionController: java.lang.reflect.Method.invoke(Native Method)
04-23 11:23:44.205   942   942 D SubscriptionController: com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:592)
